SectionId,SectionName,DistrictId,DistrictName,AreaId,AreaName,Link
6243298,USTA/INTERMOUNTAIN,6243335,COLORADO,6243461,CO-NORTHERN COLORADO,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243335&SubDistrictNodeID=6243461&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243335,COLORADO,6243462,CO-SOUTHERN COLORADO,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243335&SubDistrictNodeID=6243462&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243335,COLORADO,6243464,CO-WESTERN SLOPE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243335&SubDistrictNodeID=6243464&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243336,IDAHO,6243466,Idaho/Idaho Falls,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243336&SubDistrictNodeID=6243466&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243336,IDAHO,6243470,Idaho/McCall,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243336&SubDistrictNodeID=6243470&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243336,IDAHO,6243467,Idaho/Pocatello,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243336&SubDistrictNodeID=6243467&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243336,IDAHO,6243468,Idaho/Sun Valley,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243336&SubDistrictNodeID=6243468&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243336,IDAHO,6243465,Idaho/Treasure Valley,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243336&SubDistrictNodeID=6243465&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243336,IDAHO,6243469,Idaho/Twin Falls,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243336&SubDistrictNodeID=6243469&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243337,MONTANA,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243337&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243298,USTA/INTERMOUNTAIN,6243334,NEVADA,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243298&DistrictNodeID=6243334&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
